[    6110ms] [LOG]   rawa_buntu: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    6141ms] [LOG]   rawa_buntu: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    6161ms] [LOG]   sawah_besar: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    6194ms] [LOG]   sawah_besar: 45 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    6381ms] [LOG]   serpong: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    6558ms] [LOG]   serpong: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    6614ms] [LOG]   sudimara: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    6660ms] [LOG]   sudimara: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    6735ms] [LOG]   sudirman: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    6807ms] [LOG]   sudirman: 7 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    6843ms] [LOG]   taman_kota: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    6874ms] [LOG]   taman_kota: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    6908ms] [LOG]   tambun: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    7075ms] [LOG]   tambun: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    7224ms] [LOG]   tanah_abang: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    7317ms] [LOG]   tanah_abang: 7 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    7417ms] [LOG]   tanah_tinggi: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    7567ms] [LOG]   tanah_tinggi: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    7657ms] [LOG]   tangerang: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    7714ms] [LOG]   tangerang: 4 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    7745ms] [LOG]   tanjung_barat: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    7788ms] [LOG]   tanjung_barat: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    7828ms] [LOG]   tanjung_priuk: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    7890ms] [LOG]   tanjung_priuk: 2 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    7912ms] [LOG]   tebet: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    7955ms] [LOG]   tebet: 14 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    8038ms] [LOG]   tenjo: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    8146ms] [LOG]   tenjo: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    8302ms] [LOG]   tigaraksa: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    8428ms] [LOG]   tigaraksa: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    8543ms] [LOG]   universitas_indonesia: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    8690ms] [LOG]   universitas_indonesia: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    8828ms] [LOG]   universitas_pancasila: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    8899ms] [LOG]   universitas_pancasila: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    8944ms] [LOG]   walantaka: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    9011ms] [LOG]   walantaka: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    9015ms] [LOG] 
All data loaded. window.__verification is ready. @ http://localhost:8083/map-check.local.html:79
[   12018ms] [WARNING] Image "wetland_bg_11" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[   13756ms] [WARNING] Expected value to be of type number, but found null instead. @ blob:http://localhost:8083/ca8d482b-c9d9-4293-842d-660ab6bfe466:0
[   14048ms] [WARNING] Image "clinic" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[   15909ms] [WARNING] Image "attraction" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[   18738ms] [WARNING] Image "arrow" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[   18739ms] [WARNING] Image "kindergarten" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[   18739ms] [WARNING] Image "school" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[   18739ms] [WARNING] Image "college" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[   18739ms] [WARNING] Image "university" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[   18740ms] [WARNING] Image "garden" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[   18740ms] [WARNING] Image "sports_centre" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[   18740ms] [WARNING] Image "swimming_pool" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
